Model,Epochs,Filter_Size,Kernel_Size,Dense_Layer,Dropout,Train_Accuracy,Val_Accuracy,Test_Accuracy,Train_Time,,,,,,,,,,,,,,,,
Model HOG,5,"[6, 16]","[21, 5]","[120, 84]",0.5,99.0%,94.3%,94.9%, 53.88 ,,,,,,,,,,,,,,,,
Model HOG,5,"[6, 16]","[21, 5]","[120, 84]",0.3,99.3%,94.1%,95.1%, 50.26 ,,,,,,,,,,,,,,,,
Model HOG,5,"[6, 16]","[21, 5]","[84, 64]",0.5,98.2%,93.7%,95.2%, 45.61 ,,,,,,,,,,,,,,,,
Model HOG,5,"[6, 16]","[21, 5]","[84, 64]",0.3,99.0%,93.1%,95.1%, 55.70 ,,,,,,,,,,,,,,,,
Model HOG,5,"[12, 16]","[21, 5]","[120, 84]",0.5,98.6%,93.7%,95.4%, 61.93 ,,,,,,,,,,,,,,,,
Model HOG,5,"[12, 16]","[21, 5]","[120, 84]",0.3,99.3%,94.4%,95.4%, 63.71 ,,,,,,,,,,,,,,,,
Model HOG,5,"[12, 16]","[21, 5]","[84, 64]",0.5,98.3%,94.6%,95.2%, 56.89 ,,,,,,,,,,,,,,,,
Model HOG,5,"[12, 16]","[21, 5]","[84, 64]",0.3,99.4%,70.4%,72.3%, 57.47 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[120, 84]",0.5,98.7%,92.5%,93.7%, 98.65 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[120, 84]",0.3,99.3%,92.7%,94.3%, 111.20 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[84, 64]",0.5,99.1%,93.0%,94.7%, 101.00 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[84, 64]",0.3,99.5%,92.9%,94.1%, 101.91 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[120, 84]",0.5,99.4%,94.8%,96.3%, 94.14 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[120, 84]",0.3,99.8%,82.4%,85.0%, 103.08 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[84, 64]",0.5,99.1%,90.7%,90.8%, 96.33 ,,,,,,,,,,,,,,,,
Model HOG,10,"[6, 16]","[21, 5]","[84, 64]",0.3,99.1%,93.0%,95.2%, 95.29 ,,,,,,,,,,,,,,,,
Model HOG,10,"[12, 16]","[21, 5]","[120, 84]",0.5,99.2%,92.4%,94.7%, 120.36 ,,,,,,,,,,,,,,,,
Model HOG,10,"[12, 16]","[21, 5]","[120, 84]",0.3,98.7%,92.2%,92.4%, 120.46 ,,,,,,,,,,,,,,,,
